"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"COMPSCI","10","Electrical Engineering and Computer Sciences","The Beauty and Joy of Computing","4","4","-","An introductory course for students with minimal prior exposure to computer science. Prepares students for future computer science courses and empowers them to utilize programming to solve problems in their field of study. Presents an overview of the history, great principles, and transformative applications of computer science, as well as a comprehensive introduction to programming. Topics include abstraction, recursion, algorithmic complexity, higher-order functions, concurrency, social implications of computing (privacy, education, algorithmic bias), and engaging research areas (data science, AI, HCI). Students will program in Snap! (a friendly graphical language) and Python, and will design and implement two projects of their choice.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","36","Electrical Engineering and Computer Sciences","CS Scholars Seminar: The Educational Climate in CS & CS61A technical discussions","2","2","-","Computer Science 36 is a seminar for CS Scholars who are concurrently taking CS61A: The Structure and Interpretation of Computer Programs. CS Scholars is a cohort-model program to provide support in exploring and potentially declaring a CS major for students with little to no computational background prior to coming to the university.   CS 36 provides an introduction to the CS curriculum at UC Berkeley, and the overall CS landscape in both industry and academia—through the lens of accessibility and its relevance to diversity. Additionally, CS36 provides technical instruction to review concepts in CS61A, in order to support CS Scholars’ individual learning and success in the CS61A course.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","39","Electrical Engineering and Computer Sciences","Freshman/Sophomore Seminar","1.5","2","-","Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25. ","-","Course may be repeated for credit when topic changes.","-","-","-"
"COMPSCI","47A","Electrical Engineering and Computer Sciences","Completion of Work in Computer Science 61A","1","1","-","Implementation of generic operations. Streams and iterators. Implementation techniques for supporting functional, object-oriented, and constraint-based programming in the Scheme programming language. Together with 9D, 47A constitutes an abbreviated, self-paced version of 61A for students who have already taken a course equivalent to 61B. ","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","47B","Electrical Engineering and Computer Sciences","Completion of Work in Computer Science 61B","1","1","-","Iterators. Hashing, applied to strings and multi-dimensional structures. Heaps. Storage management. Design and implementation of a program containing hundreds of lines of code. Students who have completed a portion of the subject matter of COMPSCI 61B may, with consent of instructor, complete COMPSCI 61B in this self-paced course.  Please note that students in the College of Engineering are required to receive additional permission from the College as well as the EECS department for the course to count in place of COMPSCI 61B.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","47C","Electrical Engineering and Computer Sciences","Completion of Work in Computer Science 61C","1","1","-","MIPS instruction set simulation. The assembly and linking process. Caches and virtual memory. Pipelined computer organization. Students with sufficient partial credit in 61C may, with consent of instructor, complete the credit in this self-paced course. ","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","61A","Electrical Engineering and Computer Sciences","The Structure and Interpretation of Computer Programs","4","4","-","An introduction to programming and computer science focused on abstraction techniques as means to manage program complexity. Techniques include procedural abstraction; control abstraction using recursion, higher-order functions, generators, and streams; data abstraction using interfaces, objects, classes, and generic operators; and language abstraction using interpreters and macros. The course exposes students to programming paradigms, including functional, object-oriented, and declarative approaches. It includes an introduction to asymptotic analysis of algorithms. There are several significant programming projects.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","61B","Electrical Engineering and Computer Sciences","Data Structures","4","4","-","Fundamental dynamic data structures, including linear lists, queues, trees, and other linked structures; arrays strings, and hash tables. Storage management. Elementary principles of software engineering. Abstract data types. Algorithms for sorting and searching. Introduction to the Java programming language. ","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","61BL","Electrical Engineering and Computer Sciences","Data Structures and Programming Methodology","4","4","-","The same material as in 61B, but in a laboratory-based format. ","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","61C","Electrical Engineering and Computer Sciences","Great Ideas of Computer Architecture (Machine Structures)","4","4","-","The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","70","Electrical Engineering and Computer Sciences","Discrete Mathematics and Probability Theory","4","4","-","Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","84","Electrical Engineering and Computer Sciences","Sophomore Seminar","1","2","-","Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores. ","-","Course may be repeated for credit when topic changes.","-","-","-"
"COMPSCI","150","Electrical Engineering and Computer Sciences","Components and Design Techniques for Digital Systems","5","5","-","Basic building blocks and design methods to contruct synchronous digital systems, such as general purpose processors, hardware accelerators, and application specific processors. Representations and design methodologies for digital systems. Logic design using combinatorial and sequential circuits. Digital system implementation considering hardware descriptions languages, computer-aided design tools, field-programmable gate array architectures, and CMOS logic gates and state elements. Interfaces between peripherals, processor hardware, and software. Formal hardware laboratories and substantial design project.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","152","Electrical Engineering and Computer Sciences","Computer Architecture and Engineering","4","4","-","Instruction set architecture, microcoding, pipelining (simple and complex). Memory hierarchies and virtual memory. Processor parallelism: VLIW, vectors, multithreading. Multiprocessors.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","160","Electrical Engineering and Computer Sciences","User Interface Design and Development","4","4","-","The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and target user group in teams. ","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","161","Electrical Engineering and Computer Sciences","Computer Security","4","4","-","Introduction to computer security. Cryptography, including encryption, authentication, hash functions, cryptographic protocols, and applications. Operating system security, access control. Network security, firewalls, viruses, and worms. Software security, defensive programming, and language-based security. Case studies from real-world systems. ","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","162","Electrical Engineering and Computer Sciences","Operating Systems and System Programming","4","4","-","Basic concepts of operating systems and system programming. Utility programs, subsystems, multiple-program systems. Processes, interprocess communication, and synchronization. Memory allocation, segmentation, paging. Loading and linking, libraries. Resource allocation, scheduling, performance evaluation. File systems, storage devices, I/O systems. Protection, security, and privacy. ","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","164","Electrical Engineering and Computer Sciences","Programming Languages and Compilers","4","4","-","Survey of programming languages. The design of modern programming languages. Principles and techniques of scanning, parsing, semantic analysis, and code generation. Implementation of compilers, interpreters, and assemblers. Overview of run-time organization and error handling. ","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","168","Electrical Engineering and Computer Sciences","Introduction to the Internet: Architecture and Protocols","4","4","-","This course is an introduction to the Internet architecture. We will focus on the concepts and fundamental design principles that have contributed to the Internet's scalability and robustness and survey the various protocols and algorithms used within this architecture. Topics include layering, addressing, intradomain routing, interdomain routing, reliable delivery, congestion control, and the core protocols (e.g., TCP, UDP, IP, DNS, and HTTP) and network technologies (e.g., Ethernet, wireless).","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","169A","Electrical Engineering and Computer Sciences","Introduction to Software Engineering","4","4","-","Ideas and techniques for designing, developing, and modifying large software systems. Service-oriented architecture, behavior-driven design with user stories, cloud computing, test-driven development, automated testing, cost and quality metrics for maintainability and effort estimation, practical performance and security in software operations, design patterns and refactoring, specification and documentation, agile project team organization and management.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","169L","Electrical Engineering and Computer Sciences","Software Engineering Team Project","4","4","-","Open-ended design project enhancing or creating software for real customers in an agile team setting. Teamwork coordination, effective customer meetings, pre- and post-iteration team meetings, running scrums and standups, technical communication. Contributing as a team to an open-source project; tools and workflows associated with open source collaboration, including fork-and-pull, rebase, upstream merge, continuous deployment & integration.","-","Course is not repeatable for credit.","-","-","-"
"COMPSCI","170","Electrical Engineering and Computer Sciences","Efficient Algorithms and Intractable Problems","4","4","-","Concept and basic techniques in the design and analysis of algorithms; models of computation; lower bounds; algorithms for optimum search trees, balanced trees and UNION-FIND algorithms; numerical and algebraic algorithms; combinatorial algorithms. Turing machines, how to count steps, deterministic and nondeterministic Turing machines, NP-completeness. Unsolvable and intractable problems. ","-","Course is not repeatable for credit.","-","-","-"
